#,Category,Notification Name,When it happens (Trigger),Who receives it,How they receive it,What they see / What it says,Frequency,Status
1,Birthdays,Customer birthday wish,A customer's date of birth matches today,The customer,In-app,A birthday wish from each Research Analyst they are subscribed to,Daily at 9:00 AM IST,Active
2,Birthdays,Research Analyst birthday wish,A Research Analyst's date of birth matches today,The Research Analyst,In-app,A birthday wish from Tradebox,Daily at 9:00 AM IST,Active
3,Events,Event reminder (7 / 3 / 1 / 0 days before),An event is upcoming,Everyone who registered for the event,Email + In-app,Event title, date, mode (online/offline), and location or link,Daily at 10:00 AM IST,Active
4,Wallet,Low wallet balance alert,Research Analyst's Tradebox wallet falls below ₹500,The Research Analyst,Email + In-app,Low balance warning with a recharge call-to-action,Daily at 9:00 AM IST,Paused
5,Profile,Complete your profile reminder,User is missing PAN or Aadhaar,The user,In-app,Prompt to complete PAN / Aadhaar details,Mondays 10:00 AM IST (max once per 7 days),Active
6,Plans,Plan expiring reminder (5 / 3 / 1 / 0 days before),A purchased plan is about to expire,The customer,Email + Telegram DM + In-app,Renewal reminder with a "Renew Now" button,Daily at 9:00 AM IST,Active
7,Plans,Plan expired,A purchased plan has expired,The customer,Email + Telegram DM + In-app,Expiry confirmation; user is also removed from the Telegram channel,Daily at 11:00 PM IST,Active
8,Plans,Free trial expiring / expired,Free trial is ending within 1 day or already over,The customer,Email + In-app,Free trial expiry warning,Every 4 hours,Active
9,Portfolio,Daily portfolio report,Market close (post 5:30 PM),Every portfolio subscriber,Email,Branded email with a link to download the day's portfolio PDF,Daily at 5:33 PM IST,Active
10,Payments,Order placed (customer to RA),A customer purchases or renews a plan from a Research Analyst,The Research Analyst,In-app,"""<Customer name> has purchased / renewed your plan <Plan name>"" — with View Lead button",Real-time on purchase,Active
11,Payments,Manual payment uploaded,Customer uploads a payment proof for manual verification,The Research Analyst,In-app,"""New order from <Customer> for <Plan> — Payment proof uploaded, pending verification""",Real-time on upload,Active
12,Payments,Manual payment uploaded (marketplace),Marketplace order with manual payment is submitted,The Research Analyst,In-app,Same as above for marketplace orders,Real-time on upload,Active
13,Payments,Payment verified,Order payment confirmed (gateway or after manual approval),The customer,In-app,"""Your payment for <Plan> has been verified. Your subscription is now active!"" — with View Receipt button",Real-time on verification,Active
14,Payments,Order confirmation email,Gateway payment is processed,The customer,Email,Invoice details + Telegram channel join link,Real-time on payment,Active
15,Payments,Marketplace order email,Marketplace order is processed,The customer,Email,Order confirmation,Real-time on payment,Active
16,Payments,Payment confirmation + Telegram invite,Order is fully verified,The customer,Email,Subscription details and Telegram channel join link,Real-time on verification,Active
17,Payments,Verified order email (service / portfolio / package),Order is verified,The customer,Email,Subscription/order confirmation,Real-time on verification,Active
18,Payments,Verified marketplace order email,Marketplace order is verified,The customer,Email,Subscription/order confirmation,Real-time on verification,Active
19,Payments,Payment rejected (in-app),Manual payment is rejected by admin/RA,The customer,In-app,"""Your payment for <Plan> has been rejected. Reason: <reason>"" — with View Details button",Real-time on rejection,Active
20,Payments,Payment rejected (email),Manual payment is rejected,The customer,Email,"Subject: ""Payment Rejected - <Plan>"" with reason",Real-time on rejection,Active
21,Payments,Auto-renewal confirmation,UPI auto-pay subscription is renewed,The customer (and optionally RA),Email,"""Auto-Renewal Confirmation for <Plan>"" with details + Telegram link",Real-time on auto-renewal,Active
22,Payments,Promo code claimed,A customer claims a promo code,Admin,Telegram (admin channel),"""<Customer> has claimed <Coupon> for <Plan>""",Real-time on claim,Active
23,Wallet,Commission / onboarding charge debited,Commission is taken from RA wallet,The Research Analyst,In-app,"""₹<amount> debited from wallet — <reason>. New balance: ₹<balance>""",Real-time on debit,Active
24,Wallet,Marketplace commission debited,Marketplace commission deduction,The Research Analyst,In-app,Wallet debit message,Real-time on debit,Active
25,Wallet,Broker commission credited,Broker commission credited to RA,The Research Analyst,In-app,Wallet credit message,Real-time on credit,Active
26,Wallet,RA wallet reduced (broker),Broker commission reduction from RA wallet,The Research Analyst,In-app,Wallet debit message,Real-time,Active
27,Wallet,Tradebox plan payment credited,Tradebox plan payment processed,The Research Analyst,In-app,Wallet credit message,Real-time,Active
28,Wallet,Broker order wallet deduction,Commission deducted for a broker order,The Research Analyst,In-app,Wallet debit message,Real-time,Active
29,Wallet,Wallet split (RA / broker),Payment is split between RA and broker,The Research Analyst,In-app,Wallet update message,Real-time,Active
